Microsevice Name,Namespace,Environment,CPU Request,Mem Request,CPU Limits,Mem Limits,Istio sidecar CPU,Istio sidecar Mem,Replicas
orders-api,orders,DEV,500m,6144Mi,8192Mim,8192Mi,100m,128Mi,1
payments-api,payments,DEV,500m,6144Mi,8192Mim,8192Mi,100m,128Mi,1
customer-api,customer,DEV,500m,4096Mi,6144Mim,6144Mi,100m,128Mi,1
catalog-api,catalog,DEV,500m,2048Mi,2048Mim,2048Mi,100m,128Mi,1
frontend,web,DEV,500m,3072Mi,2048Mim,2048Mi,100m,128Mi,1
search-api,search,DEV,250m,1024Mi,1024Mim,1024Mi,100m,128Mi,1
orders-api,orders,TEST,500m,6144Mi,8192Mim,8192Mi,100m,128Mi,1
payments-api,payments,TEST,500m,6144Mi,8192Mim,8192Mi,100m,128Mi,1
customer-api,customer,TEST,500m,4096Mi,6144Mim,6144Mi,100m,128Mi,1
catalog-api,catalog,TEST,500m,2048Mi,2048Mim,2048Mi,100m,128Mi,1
frontend,web,TEST,500m,3072Mi,2048Mim,2048Mi,100m,128Mi,1
search-api,search,TEST,250m,1024Mi,1024Mim,1024Mi,100m,128Mi,1
orders-api,orders,UAT,1000m,10240Mi,8192Mim,8192Mi,100m,128Mi,1
payments-api,payments,UAT,1000m,10240Mi,8192Mim,8192Mi,100m,128Mi,1
customer-api,customer,UAT,1000m,8192Mi,6144Mim,6144Mi,100m,128Mi,1
catalog-api,catalog,UAT,1000m,4096Mi,2048Mim,2048Mi,100m,128Mi,1
frontend,web,UAT,1000m,4096Mi,2048Mim,2048Mi,100m,128Mi,1
search-api,search,UAT,250m,1024Mi,1024Mim,1024Mi,100m,128Mi,1
orders-api,orders,Pre-Prod,1000m,10240Mi,8192Mim,8192Mi,100m,128Mi,1
payments-api,payments,Pre-Prod,1000m,10240Mi,8192Mim,8192Mi,100m,128Mi,1
customer-api,customer,Pre-Prod,1000m,8192Mi,6144Mim,6144Mi,100m,128Mi,1
catalog-api,catalog,Pre-Prod,1000m,4096Mi,2048Mim,2048Mi,100m,128Mi,1
frontend,web,Pre-Prod,1000m,4096Mi,2048Mim,2048Mi,100m,128Mi,1
search-api,search,Pre-Prod,250m,1024Mi,1024Mim,1024Mi,100m,128Mi,1
orders-api,orders,Prod,2000m,12288Mi,14336Mim,14336Mi,300m,256Mi,3
payments-api,payments,Prod,2000m,12288Mi,14336Mim,14336Mi,300m,256Mi,3
customer-api,customer,Prod,1000m,10240Mi,12288Mim,12288Mi,300m,256Mi,3
catalog-api,catalog,Prod,1000m,4096Mi,4096Mim,4096Mi,300m,256Mi,3
frontend,web,Prod,1000m,4096Mi,6144Mim,6144Mi,300m,256Mi,3
search-api,search,Prod,250m,1024Mi,1024Mim,1024Mi,300m,256Mi,3
